"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0042110","GO:0042110","T cell activation","94/547","464/18670",3.58637742916757e-52,1.44853784364078e-48,1.19143233331083e-48
"GO:0030098","GO:0030098","lymphocyte differentiation","75/547","353/18670",4.88208516704195e-43,9.85937099484123e-40,8.10940041430758e-40
"GO:0030217","GO:0030217","T cell differentiation","58/547","240/18670",1.24462385761785e-36,1.67567858697283e-33,1.37825715601471e-33
"GO:0051249","GO:0051249","regulation of lymphocyte activation","78/547","485/18670",1.15809033073543e-35,1.09687863043778e-32,9.02190213226735e-33
"GO:0050863","GO:0050863","regulation of T cell activation","64/547","314/18670",1.35785916122528e-35,1.09687863043778e-32,9.02190213226735e-33
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","64/547","337/18670",1.13567757600212e-33,7.64500288245424e-31,6.28806742081171e-31
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","59/547","304/18670",1.28303983409723e-31,7.40313984274102e-29,6.08913340813664e-29
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","49/547","218/18670",1.75921639800279e-29,8.88184378941659e-27,7.30537756854843e-27
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","63/547","403/18670",3.95357240401168e-28,1.77427543775591e-25,1.45935374351589e-25
"GO:0050870","GO:0050870","positive regulation of T cell activation","46/547","202/18670",5.38951932834477e-28,2.17682685671845e-25,1.79045505265854e-25
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","50/547","255/18670",4.01898601248934e-27,1.47569859131313e-24,1.21377223496807e-24
"GO:0046651","GO:0046651","lymphocyte proliferation","50/547","272/18670",9.06763577056606e-26,3.05201507310969e-23,2.51030337648303e-23
"GO:0070661","GO:0070661","leukocyte proliferation","52/547","298/18670",1.19815536757099e-25,3.71324679838352e-23,3.05417101567569e-23
"GO:0032943","GO:0032943","mononuclear cell proliferation","50/547","274/18670",1.28708727846916e-25,3.71324679838352e-23,3.05417101567569e-23
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","58/547","380/18670",2.14947105299603e-25,5.64850454977959e-23,4.64593381871604e-23
"GO:0050867","GO:0050867","positive regulation of cell activation","59/547","394/18670",2.23758536262623e-25,5.64850454977959e-23,4.64593381871604e-23
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","54/547","334/18670",6.23174833680339e-25,1.48059009013817e-22,1.21779552637471e-22
"GO:0002449","GO:0002449","lymphocyte mediated immunity","54/547","352/18670",8.38399452837063e-24,1.88127521667161e-21,1.54736179716595e-21
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","41/547","208/18670",1.65066216923417e-22,3.50896026396675e-20,2.8861439368992e-20
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","41/547","209/18670",1.99873286833262e-22,4.03644102759772e-20,3.32000049076723e-20
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","42/547","222/18670",2.62911944695949e-22,5.05667306965208e-20,4.15914835819757e-20
"GO:0046631","GO:0046631","alpha-beta T cell activation","34/547","138/18670",3.64652412695577e-22,6.69468679489744e-20,5.50642590654183e-20
"GO:0045058","GO:0045058","T cell selection","22/547","47/18670",9.22446204289973e-22,1.61989574744661e-19,1.33237538706598e-19
"GO:0042113","GO:0042113","B cell activation","48/547","310/18670",1.96257723287739e-21,3.30285393482991e-19,2.7166200644566e-19
"GO:0045785","GO:0045785","positive regulation of cell adhesion","54/547","403/18670",5.6512326591369e-21,9.13013148410158e-19,7.5095959040994e-19
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","47/547","316/18670",2.89854082916362e-20,4.5027716957661e-18,3.70356067078558e-18
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","35/547","169/18670",4.05984410177268e-20,5.85972260527487e-18,4.81966212122529e-18
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","50/547","361/18670",4.06219937973995e-20,5.85972260527487e-18,4.81966212122529e-18
"GO:0050900","GO:0050900","leukocyte migration","59/547","499/18670",4.2399447055162e-20,5.90521953985515e-18,4.85708366265304e-18
"GO:0043368","GO:0043368","positive T cell selection","18/547","34/18670",2.74111244784904e-19,3.6904510589541e-17,3.03542136330231e-17
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","56/547","473/18670",3.81374609123102e-19,4.96894208467165e-17,4.08698902000853e-17
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","32/547","149/18670",5.35410609591672e-19,6.75788578793988e-17,5.55840751273459e-17
"GO:0046632","GO:0046632","alpha-beta T cell differentiation","27/547","101/18670",7.42551548696089e-19,9.0883809247985e-17,7.47525578208886e-17
"GO:0042129","GO:0042129","regulation of T cell proliferation","32/547","156/18670",2.28757832420915e-18,2.71750848572964e-16,2.23516940904151e-16
"GO:0002699","GO:0002699","positive regulation of immune effector process","37/547","216/18670",2.85977626979981e-18,3.30018181534898e-16,2.714422227816e-16
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","41/547","272/18670",4.99075552830074e-18,5.59935043855741e-16,4.60550422436174e-16
"GO:0045580","GO:0045580","regulation of T cell differentiation","30/547","139/18670",5.94259035335739e-18,6.487060118165e-16,5.33565153775133e-16
"GO:0002697","GO:0002697","regulation of immune effector process","53/547","458/18670",9.93896356425993e-18,1.05640720621173e-15,8.68902188609538e-16
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","35/547","201/18670",1.39779019337136e-17,1.44760886949408e-15,1.19066824568961e-15
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","25/547","95/18670",2.2461052217138e-17,2.26800474762551e-15,1.86544949466546e-15
"GO:0042098","GO:0042098","T cell proliferation","33/547","184/18670",4.79594952980485e-17,4.72459515875166e-15,3.88601199385472e-15
"GO:0001819","GO:0001819","positive regulation of cytokine production","52/547","464/18670",8.14742281142555e-17,7.83510493698757e-15,6.44442766738322e-15
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","32/547","181/18670",2.22773220656053e-16,2.09251404239488e-14,1.72110718333048e-14
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","25/547","105/18670",2.9951165290081e-16,2.74938083196903e-14,2.2613846329066e-14
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","28/547","139/18670",5.1638026002467e-16,4.63479971164365e-14,3.81215462137511e-14
"GO:0050671","GO:0050671","positive regulation of lymphocyte proliferation","27/547","130/18670",7.71068195865179e-16,6.77031400673795e-14,5.56862980812473e-14
"GO:0031295","GO:0031295","T cell costimulation","19/547","56/18670",8.44887264284322e-16,7.26063757541356e-14,5.97192431373196e-14
"GO:0032946","GO:0032946","positive regulation of mononuclear cell proliferation","27/547","131/18670",9.45092375035101e-16,7.95255854743078e-14,6.54103406932188e-14
"GO:0031294","GO:0031294","lymphocyte costimulation","19/547","57/18670",1.23327460247924e-15,1.01657063661503e-13,8.36136336288823e-14
"GO:0002683","GO:0002683","negative regulation of immune system process","50/547","463/18670",1.4936040993429e-15,1.2065333914492e-13,9.92382007900253e-14
"GO:0042100","GO:0042100","B cell proliferation","23/547","95/18670",3.16629522650644e-15,2.50758165095285e-13,2.06250314444878e-13
"GO:0033077","GO:0033077","T cell differentiation in thymus","20/547","70/18670",6.39192710620698e-15,4.96480645807115e-13,4.08358743870227e-13
"GO:0032609","GO:0032609","interferon-gamma production","24/547","113/18670",1.8672389618378e-14,1.42297701261564e-12,1.17040837409337e-12
