"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0042113","GO:0042113","B cell activation","12/54","310/18670",6.53328583765757e-11,6.6051519818718e-08,4.92403437869771e-08
"GO:0042100","GO:0042100","B cell proliferation","8/54","95/18670",2.85795248812467e-10,1.44469498274702e-07,1.07699683236698e-07
"GO:0050853","GO:0050853","B cell receptor signaling pathway","8/54","129/18670",3.32576119877556e-09,1.12078152398736e-06,8.35524567832736e-07
"GO:0006959","GO:0006959","humoral immune response","11/54","356/18670",4.77719854240424e-09,1.20743693159267e-06,9.00124777989851e-07
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","10/54","316/18670",2.07224478598682e-08,4.19007895726536e-06,3.12363635108751e-06
"GO:0050864","GO:0050864","regulation of B cell activation","8/54","184/18670",5.39897820636341e-08,9.09727827772234e-06,6.78187437851965e-06
"GO:0046651","GO:0046651","lymphocyte proliferation","9/54","272/18670",7.76797596907538e-08,1.04503917084627e-05,7.79059863944952e-06
"GO:0032943","GO:0032943","mononuclear cell proliferation","9/54","274/18670",8.26935051114754e-08,1.04503917084627e-05,7.79059863944952e-06
"GO:0051249","GO:0051249","regulation of lymphocyte activation","11/54","485/18670",1.13349881365855e-07,1.27329700067644e-05,9.49222398338625e-06
"GO:0070661","GO:0070661","leukocyte proliferation","9/54","298/18670",1.68867379354603e-07,1.70724920527504e-05,1.27272677492522e-05
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","10/54","473/18670",8.73075726068435e-07,7.42181735488256e-05,5.53284525596951e-05
"GO:0030888","GO:0030888","regulation of B cell proliferation","5/54","61/18670",8.80927875950452e-07,7.42181735488256e-05,5.53284525596951e-05
"GO:0050855","GO:0050855","regulation of B cell receptor signaling pathway","4/54","29/18670",1.40672258054636e-06,0.000109399732994798,8.15557382729713e-05
"GO:0030098","GO:0030098","lymphocyte differentiation","8/54","353/18670",7.35345411610805e-06,0.000531024436527517,0.000395870161438599
"GO:0010524","GO:0010524","positive regulation of calcium ion transport into cytosol","4/54","54/18670",1.77544216680269e-05,0.00119664802042501,0.000892081818547877
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","6/54","208/18670",2.9427919541822e-05,0.00179785223281623,0.00134026987213954
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","6/54","209/18670",3.0230947534991e-05,0.00179785223281623,0.00134026987213954
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","7/54","319/18670",3.54031044578608e-05,0.00197544259763426,0.00147266062773297
"GO:0050854","GO:0050854","regulation of antigen receptor-mediated signaling pathway","4/54","65/18670",3.71250339812571e-05,0.00197544259763426,0.00147266062773297
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","6/54","222/18670",4.23735266076729e-05,0.00214198177001787,0.00159681289742599
"GO:0042110","GO:0042110","T cell activation","8/54","464/18670",5.22733281977762e-05,0.00251658737180723,0.00187607533782495
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","7/54","357/18670",7.20689149763832e-05,0.00331189422914197,0.0024689637857938
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","7/54","361/18670",7.72792402682545e-05,0.00339692660483501,0.00253235405181099
"GO:0060402","GO:0060402","calcium ion transport into cytosol","5/54","158/18670",9.22059037628675e-05,0.00388417369601079,0.00289558890764093
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","4/54","88/18670",0.000121732027698674,0.00492284320013436,0.0036699002876737
"GO:0060401","GO:0060401","cytosolic calcium ion transport","5/54","171/18670",0.000133738571675977,0.00520037292170818,0.00387679422348176
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","7/54","403/18670",0.000153086988645657,0.00573225724150961,0.00427330541404642
"GO:1990868","GO:1990868","response to chemokine","4/54","97/18670",0.000177431217262142,0.00618561933282845,0.00461127954844622
"GO:1990869","GO:1990869","cellular response to chemokine","4/54","97/18670",0.000177431217262142,0.00618561933282845,0.00461127954844622
"GO:0071356","GO:0071356","cellular response to tumor necrosis factor","6/54","291/18670",0.000187632485812621,0.00632321477188533,0.00471385473129251
"GO:0051281","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","3/54","40/18670",0.000209489924338908,0.00680230815023898,0.00507101112558812
"GO:0010522","GO:0010522","regulation of calcium ion transport into cytosol","4/54","102/18670",0.0002153055003043,0.00680230815023898,0.00507101112558812
"GO:0030593","GO:0030593","neutrophil chemotaxis","4/54","104/18670",0.000231972196882063,0.00706293586243055,0.00526530488573093
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","6/54","304/18670",0.000237527022079761,0.00706293586243055,0.00526530488573093
"GO:0034612","GO:0034612","response to tumor necrosis factor","6/54","312/18670",0.00027308357219352,0.00788821404250425,0.00588053647189655
"GO:0050863","GO:0050863","regulation of T cell activation","6/54","314/18670",0.000282595761332435,0.00793623096408587,0.00591633231327553
"GO:0006874","GO:0006874","cellular calcium ion homeostasis","7/54","458/18670",0.000333984652543373,0.0091259049654419,0.00680321511297455
"GO:1990266","GO:1990266","neutrophil migration","4/54","118/18670",0.000375743033619821,0.00998987456793268,0.00744729053114665
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","6/54","334/18670",0.000392804625920491,0.00998987456793268,0.00744729053114665
"GO:0055074","GO:0055074","calcium ion homeostasis","7/54","471/18670",0.000395247262826219,0.00998987456793268,0.00744729053114665
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","6/54","337/18670",0.000411889811004536,0.0101056687227186,0.00753361320783646
"GO:0019730","GO:0019730","antimicrobial humoral response","4/54","122/18670",0.000426417260265415,0.0101056687227186,0.00753361320783646
"GO:0051928","GO:0051928","positive regulation of calcium ion transport","4/54","123/18670",0.000439811497329,0.0101056687227186,0.00753361320783646
"GO:0071621","GO:0071621","granulocyte chemotaxis","4/54","123/18670",0.000439811497329,0.0101056687227186,0.00753361320783646
"GO:0045661","GO:0045661","regulation of myoblast differentiation","3/54","53/18670",0.000483694981307651,0.0108670139133786,0.00810118378049774
"GO:0002449","GO:0002449","lymphocyte mediated immunity","6/54","352/18670",0.000518481071235588,0.0111691617695364,0.00832643013898489
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","7/54","493/18670",0.000519238974449267,0.0111691617695364,0.00832643013898489
"GO:0030183","GO:0030183","B cell differentiation","4/54","131/18670",0.000558007859785112,0.0117371441603343,0.00874985185985669
