"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0042110","GO:0042110","T cell activation","61/409","464/18670",4.4542529083874e-30,1.70330631216734e-26,1.4502109732255e-26
"GO:0051249","GO:0051249","regulation of lymphocyte activation","57/409","485/18670",1.38168043469532e-25,2.64177299113745e-22,2.24923030763822e-22
"GO:0050863","GO:0050863","regulation of T cell activation","46/409","314/18670",8.0489142469278e-25,1.02596826934173e-21,8.7351900932448e-22
"GO:0030098","GO:0030098","lymphocyte differentiation","48/409","353/18670",2.06493401034213e-24,1.97407691388708e-21,1.68074760368111e-21
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","38/409","255/18670",6.35511948880034e-21,4.28741524010963e-18,3.65034555650162e-18
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","43/409","337/18670",7.44896780162555e-21,4.28741524010963e-18,3.65034555650162e-18
"GO:0046651","GO:0046651","lymphocyte proliferation","39/409","272/18670",7.84830195626763e-21,4.28741524010963e-18,3.65034555650162e-18
"GO:0032943","GO:0032943","mononuclear cell proliferation","39/409","274/18670",1.02628281657604e-20,4.90563186323349e-18,4.17670098903909e-18
"GO:0050870","GO:0050870","positive regulation of T cell activation","34/409","202/18670",1.47348015088854e-20,6.26065344110862e-18,5.33037907216169e-18
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","35/409","218/18670",1.95398042980436e-20,7.47202116357186e-18,6.36174891514198e-18
"GO:0070661","GO:0070661","leukocyte proliferation","40/409","298/18670",2.84318117793283e-20,9.88393165855923e-18,8.41527213717345e-18
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","40/409","304/18670",5.93390876983775e-20,1.8909389279883e-17,1.60996314255335e-17
"GO:0030217","GO:0030217","T cell differentiation","34/409","240/18670",3.9688012719169e-18,1.16743815875463e-15,9.93967800327042e-16
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","42/409","380/18670",4.86051541709873e-18,1.32761506821325e-15,1.1303439236907e-15
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","43/409","403/18670",7.17056452172565e-18,1.82801591540526e-15,1.55638989934719e-15
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","39/409","334/18670",1.20582548050323e-17,2.88192289840273e-15,2.45369619157665e-15
