"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000048462",108.47292017176,-5.99771825314955,0.531652202712111,-11.2812816772948,1.62363025960844e-29,2.61940269782629e-25,"TNFRSF17","608"
"ENSG00000156234",561.780747186232,-9.2307265410304,0.832554655094715,-11.0872319126968,1.44696111516566e-28,1.55625491139784e-24,"CXCL13","10563"
"ENSG00000160856",926.561880669691,-6.91134424682034,0.660920082051956,-10.4571557658873,1.35873149956898e-25,4.87120339612143e-22,"FCRL3","115352"
"ENSG00000163534",804.392329837548,-7.86763243009551,0.761693279002763,-10.3291346359208,5.20278229714403e-25,1.52611794181499e-21,"FCRL1","115350"
"ENSG00000196092",398.982117944353,-8.1905605307564,0.792820584506457,-10.3309130600527,5.10721017138965e-25,1.52611794181499e-21,"PAX5","5079"
"ENSG00000271856",177.49291063043,-6.04704515302778,0.588660824934954,-10.272545576132,9.36990598125848e-25,2.51941155326072e-21,"LINC01215","101929623"
"ENSG00000269404",416.451599061944,-6.51939350265955,0.640225778785074,-10.1829600098751,2.36263171209801e-24,5.44519105875389e-21,"SPIB","6689"
"ENSG00000168081",68.505253444195,-6.37558315786497,0.62723419613967,-10.1645975253002,2.85297859264138e-24,6.13694715134446e-21,"PNOC","5368"
"ENSG00000177455",1184.56589050897,-7.78952712397097,0.76867618067515,-10.1336912991492,3.91581735256186e-24,7.89673516861005e-21,"CD19","930"
"ENSG00000100721",310.882980433953,-9.29966076442044,0.923114923012751,-10.0742177735242,7.18300643587322e-24,1.28759380922159e-20,"TCL1A","8115"
"ENSG00000083454",913.261503607446,-6.01988170756857,0.597436142364237,-10.076192718683,7.0401375298897e-24,1.28759380922159e-20,"P2RX5","5026"
"ENSG00000167483",842.931251824561,-6.36396794266538,0.636629739087733,-9.99634096858985,1.58132290478717e-23,2.55114824229314e-20,"NIBAN3","199786"
"ENSG00000089012",258.317527988946,-5.09854208164626,0.510775579970896,-9.98196131838717,1.82816786579984e-23,2.80893639799512e-20,"SIRPG","55423"
"ENSG00000105369",1948.87264998632,-7.92164577986048,0.797970739352037,-9.92723841765547,3.16910877778325e-23,4.64793017381611e-20,"CD79A","973"
"ENSG00000122188",236.813199713761,-4.79040553471362,0.483311079163237,-9.9116402276714,3.70512776323082e-23,4.9812355170169e-20,"LAX1","54900"
"ENSG00000117322",963.919507875923,-7.51132410506797,0.763899189345261,-9.83287351241455,8.12662499717731e-23,1.0085141621497e-19,"CR2","1380"
"ENSG00000187862",90.8677749039432,-5.81215938281287,0.598785903860174,-9.70657349370418,2.82680481975015e-22,3.04032281046861e-19,"TTC24","164118"
"ENSG00000136573",911.219979399182,-6.39487694653247,0.662743843405193,-9.64909294920862,4.9592426206245e-22,4.84893704233546e-19,"BLK","640"
"ENSG00000181847",505.034333584595,-5.24234036661794,0.546901194432741,-9.58553468155325,9.19799801616304e-22,8.72890011733872e-19,"TIGIT","201633"
