"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000105369",1948.87264998632,-4.89843150102533,0.798170019886797,-6.13707778916585,8.40532341485298e-10,4.59895714102308e-07,"CD79A","973"
"ENSG00000170476",1628.40214481694,-4.14761619885431,0.738746398630515,-5.61439785905305,1.97247899961034e-08,7.37707145854268e-06,"MZB1","51237"
"ENSG00000156738",5112.77521118766,-4.49834866038149,0.8117287946779,-5.54168915760401,2.99567735707985e-08,1.02918933944513e-05,"MS4A1","931"
"ENSG00000181847",505.034333584595,-3.02489882201475,0.547542472178884,-5.52450079347727,3.30423743545674e-08,1.12214941687362e-05,"TIGIT","201633"
"ENSG00000156234",561.780747186232,-4.44240062414429,0.834795313095396,-5.32154476008257,1.02889787578181e-07,3.03998166378493e-05,"CXCL13","10563"
"ENSG00000110777",1986.23936710326,-3.23566341352026,0.623559600827348,-5.18902027845796,2.11403376641995e-07,5.67829469660398e-05,"POU2AF1","5450"
"ENSG00000226777",416.835982704323,-3.90552983904617,0.760751132402782,-5.13378117060544,2.83978260589573e-07,7.49144793516029e-05,"FAM30A","9834"
"ENSG00000132465",7603.6821269475,-3.78253588131273,0.743192339119468,-5.08957867595119,3.58859948199731e-07,9.14041037026661e-05,"JCHAIN","3512"
"ENSG00000129204",428.142124556366,2.15416101147362,0.44035348171265,4.89189049464428,9.98720091790794e-07,0.000237969224452023,"USP6","9098"
"ENSG00000187862",90.8677749039432,-2.93750782534921,0.603930427549359,-4.86398381560123,1.15046324832403e-06,0.000271932697079854,"TTC24","164118"
"ENSG00000235304",36.493893385581,-5.86969719509417,1.23832028199221,-4.74004769238777,2.13667919522557e-06,0.000481910866428509,"LINC01281","286442"
"ENSG00000048462",108.47292017176,-2.52362702715547,0.538991247856758,-4.68212988094037,2.83909493968302e-06,0.000630706008179508,"TNFRSF17","608"
"ENSG00000163534",804.392329837548,-3.52990289562507,0.762950014905475,-4.62665027414988,3.71627252092062e-06,0.000819410357485974,"FCRL1","115350"
"ENSG00000160856",926.561880669691,-3.02712795003823,0.661842259707865,-4.57379066633551,4.78978407829658e-06,0.00102549971287935,"FCRL3","115352"
"ENSG00000177455",1184.56589050897,-3.50960036092568,0.769489358553876,-4.56094723326827,5.09233777731876e-06,0.00106707951750823,"CD19","930"
"ENSG00000254709",101.053449879634,-4.43846980038036,0.977075792320987,-4.54260543067702,5.55631917229055e-06,0.00114802102282865,"IGLL5","100423062"
"ENSG00000122188",236.813199713761,-2.18704044834933,0.485367522749159,-4.50594723759383,6.60775061797566e-06,0.00132478986008237,"LAX1","54900"
"ENSG00000235532",73.2956861399738,-4.16834160931158,0.925261917629844,-4.50503963244183,6.63605561809351e-06,0.00132478986008237,"LINC00402","100507612"
"ENSG00000026751",787.517188235638,-2.25104493089426,0.501572609883831,-4.48797419662853,7.19036351550388e-06,0.00142581530489314,"SLAMF7","57823"
"ENSG00000197057",177.974170534014,-2.42458178629874,0.544659122407313,-4.45155820686973,8.5249417608325e-06,0.00167546413369751,"DTHD1","401124"
"ENSG00000086967",152.582936219665,-3.34767170588116,0.764564772857832,-4.37853249943501,1.19481125705575e-05,0.0022629418846775,"MYBPC2","4606"
"ENSG00000136573",911.219979399182,-2.90361777543392,0.663458241840018,-4.37648911765885,1.20606209940614e-05,0.00226970132414355,"BLK","640"
"ENSG00000083454",913.261503607446,-2.61602534376491,0.598182369745151,-4.37329061516714,1.22387626395405e-05,0.00228864861359408,"P2RX5","5026"
"ENSG00000140465",120.99248475646,-3.67581958143104,0.84287636278258,-4.36104243010931,1.294442594241e-05,0.00235255660475133,"CYP1A1","1543"
"ENSG00000089012",258.317527988946,-2.23651320841267,0.512907042973276,-4.36046499858494,1.29786342169657e-05,0.00235255660475133,"SIRPG","55423"
"ENSG00000121895",207.037793121026,-2.60279904393512,0.602168060233258,-4.32237977372445,1.5435519807064e-05,0.00276398708011826,"TMEM156","80008"
"ENSG00000196092",398.982117944353,-3.43424064793391,0.796062654627092,-4.31403310778678,1.60302924188964e-05,0.00284332184818449,"PAX5","5079"
"ENSG00000159958",162.269017407275,-3.53543095296616,0.823019468175246,-4.2956832610591,1.74156095745295e-05,0.00302683294405324,"TNFRSF13C","115650"
"ENSG00000122224",497.023194267655,-2.46515178819243,0.575347744952298,-4.28462926955039,1.83044155968139e-05,0.00316270329370447,"LY9","4063"
"ENSG00000143297",1671.07413069489,-3.41603415114917,0.80069339405233,-4.26634486624216,1.98701550430172e-05,0.00339354682601726,"FCRL5","83416"
"ENSG00000113088",259.066879510161,-2.48402122312863,0.582805397581284,-4.26217950869644,2.02442717290444e-05,0.00341792715717911,"GZMK","3003"
"ENSG00000116748",50.5582499362801,-2.33813627217486,0.551419613078076,-4.24021238403757,2.23308398723184e-05,0.00370666851049169,"AMPD1","270"
"ENSG00000198576",199.581555498169,2.47644452235866,0.592460434194983,4.17993232868551,2.91595856437159e-05,0.00468233215994147,"ARC","23237"
"ENSG00000086159",5.21422090691832,2.71838344418478,0.657627362523241,4.13362277651382,3.57089395941949e-05,0.00561200175133022,"AQP6","363"
"ENSG00000138755",1841.40111326053,-2.50229012649613,0.606070405277768,-4.12871195277933,3.6480106744357e-05,0.00570286367126335,"CXCL9","4283"
"ENSG00000168081",68.505253444195,-2.60231170590914,0.639260986244703,-4.07081264445098,4.68494182982073e-05,0.00709852775917351,"PNOC","5368"
"ENSG00000092345",4.25724989290283,4.25987123441269,1.07172793211923,3.97476925509374,7.04475228840755e-05,0.0101533781030873,"DAZL","1618"
"ENSG00000257242",72.8569948117709,-2.07140917084889,0.522937484384908,-3.96110287118799,7.46043806872795e-05,0.0107002962708076,"LINC01619","256021"
"ENSG00000240505",194.18719362544,-4.24901343596554,1.0826507654212,-3.92463901719266,8.68598883017469e-05,0.0122792452620259,"TNFRSF13B","23495"
"ENSG00000131096",18.8275386648995,2.25531135018586,0.576626570097126,3.91121649112696,9.18324097704555e-05,0.0127984923541409,"PYY","5697"
"ENSG00000165076",9.47209448993511,2.28147371240177,0.587059394652401,3.88627408603629,0.000101794570021914,0.0140700802698667,"PRSS37","136242"
"ENSG00000225362",35.2490439319627,2.07370790770332,0.538577922278003,3.85033961090019,0.000117954153434707,0.0159865753090911,"CT62","196993"
