"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000128218",146.227498918704,-4.5536189255925,0.538066891821055,-8.46292346697089,2.60756843629284e-17,7.70432170187082e-13,"VPREB3","29802"
"ENSG00000117322",963.919507875923,-6.18838919070376,0.758614667524629,-8.1574868712947,3.42067234971767e-16,3.82187006713695e-12,"CR2","1380"
"ENSG00000134443",23.5593873595832,23.0715333328994,2.83356404931857,8.14223110236304,3.88059642638965e-16,3.82187006713695e-12,"GRP","2922"
"ENSG00000007312",900.448374481517,-3.44850328521723,0.444192202771234,-7.76353853962913,8.25920098939943e-15,4.88308918858266e-11,"CD79B","974"
"ENSG00000101057",303.274472079432,-4.31426848174169,0.555713793768424,-7.7634720068502,8.26353683845979e-15,4.88308918858266e-11,"MYBL2","4605"
"ENSG00000227507",832.23268838876,-4.22415749212137,0.555318489347402,-7.60672942311989,2.81118988157838e-14,1.18656308915878e-10,"LTB","4050"
"ENSG00000104921",387.707011727141,-4.83188714963449,0.633674787286949,-7.625184474077,2.43685652838803e-14,1.18656308915878e-10,"FCER2","2208"
"ENSG00000271856",177.49291063043,-4.17680576220846,0.571191975163943,-7.31243775091491,2.62338822631117e-13,7.39427404382516e-10,"LINC01215","101929623"
"ENSG00000165178",161.619050708774,-3.10076452689905,0.423006478745115,-7.33030032092591,2.29637544375404e-13,7.39427404382516e-10,"NCF1C","654817"
"ENSG00000100721",310.882980433953,-6.21963431132582,0.851309394347717,-7.30596226544801,2.75289428288353e-13,7.39427404382516e-10,"TCL1A","8115"
"ENSG00000109805",81.6570245768606,-3.32009872167188,0.461528972078477,-7.1936951362337,6.30609176643212e-13,1.55266489442503e-09,"NCAPG","64151"
"ENSG00000213402",2152.0497331578,-2.05713227840634,0.29069714232364,-7.07654799067852,1.47789589087551e-12,3.35891630706215e-09,"PTPRCAP","5790"
"ENSG00000159618",310.729093568739,-2.97271307268839,0.420715457305651,-7.06585180332157,1.59633709957162e-12,3.36895542456735e-09,"ADGRG5","221188"
"ENSG00000048462",108.47292017176,-3.47409122599409,0.494999414482546,-7.0183744148986,2.24464379258863e-12,4.42134969972158e-09,"TNFRSF17","608"
"ENSG00000167483",842.931251824561,-4.38924914331288,0.632327631696493,-6.94141600539711,3.8818901432555e-12,7.16839538578919e-09,"NIBAN3","199786"
"ENSG00000169442",936.514522865182,-3.11885306409175,0.453497913977315,-6.87732615292197,6.09863765038461e-12,1.05950865947163e-08,"CD52","1043"
"ENSG00000213654",1540.41881759874,-2.11676225088772,0.308151113037826,-6.86923448051245,6.45473359185317e-12,1.05950865947163e-08,"GPSM3","63940"
"ENSG00000188404",1115.87564822233,-3.07037393612335,0.451378760257209,-6.80221181513671,1.03024967648594e-11,1.60209247060282e-08,"SELL","6402"
"ENSG00000158517",297.794856410225,-2.71239774521267,0.400937938289024,-6.76513117413545,1.33188472408129e-11,1.9554490632585e-08,"NCF1","653361"
"ENSG00000247982",1586.15990794991,-2.87920330217388,0.426408596917672,-6.75221682439431,1.45603057576955e-11,1.9554490632585e-08,"LINC00926","283663"
"ENSG00000161929",216.321981056544,-2.93116791348614,0.433832063130905,-6.75645753873588,1.41406395930437e-11,1.9554490632585e-08,"SCIMP","388325"
"ENSG00000137078",178.609556463964,-2.97213579054471,0.442715355404663,-6.71342377051285,1.90109955315094e-11,2.44216901727816e-08,"SIT1","27240"
"ENSG00000168081",68.505253444195,-3.77327145195582,0.563157845149324,-6.70020223363012,2.08131296210553e-11,2.56226969909876e-08,"PNOC","5368"
"ENSG00000076662",1215.60288819293,-2.08252821955515,0.311241697430849,-6.69103220020141,2.21601890634185e-11,2.61897978427106e-08,"ICAM3","3385"
"ENSG00000175063",112.10320248547,-3.4389499132641,0.5158296347177,-6.66683277153346,2.61382628790278e-11,2.9703119808606e-08,"UBE2C","11065"
"ENSG00000104894",2626.16379351115,-2.96911008669366,0.447233274445199,-6.63883985460809,3.16161665677122e-11,3.45974539781343e-08,"CD37","951"
"ENSG00000102879",3973.51571372049,-2.80012687460692,0.424548560092238,-6.59553968101683,4.23711685746809e-11,4.47106623824115e-08,"CORO1A","11151"
"ENSG00000245164",881.799976103953,-3.35831459658523,0.512090317995561,-6.55805134088543,5.45154420365812e-11,5.5541836221132e-08,"LINC00861","100130231"
"ENSG00000126882",674.549528559368,-2.34896568268749,0.360178948603152,-6.52166288950885,6.95321535876204e-11,6.68279697809339e-08,"FAM78A","286336"
"ENSG00000162004",141.355027260175,-2.14083552900376,0.328328490291536,-6.52040743434364,7.01166676778228e-11,6.68279697809339e-08,"CCDC78","124093"
"ENSG00000178999",92.9641947812987,-3.45821949931477,0.531763476152458,-6.50330392063875,7.8574820712985e-11,7.25491141495579e-08,"AURKB","9212"
"ENSG00000186185",103.074227031273,-3.3349813792706,0.514874767788395,-6.47726707136137,9.33987939803917e-11,8.36230535437774e-08,"KIF18B","146909"
"ENSG00000269404",416.451599061944,-4.06578195871971,0.629457978500595,-6.45917932187409,1.0527230955501e-10,9.14816370033035e-08,"SPIB","6689"
"ENSG00000162894",1340.03293884848,-2.9389541826534,0.45672113674555,-6.4348985544997,1.23555822955259e-10,1.04302295572459e-07,"FCMR","9214"
"ENSG00000241106",566.378892931699,-3.04527046298964,0.476966118258175,-6.38466831587664,1.71769361522422e-10,1.37164798798418e-07,"HLA-DOB","3112"
"ENSG00000068831",3363.16011698737,-2.50924131962445,0.393452022589094,-6.37750265740787,1.79998928691826e-10,1.39953903871807e-07,"RASGRP2","10235"
"ENSG00000170054",54.5523821164351,-8.5978324189825,1.35549782744921,-6.34293338201951,2.25430929248104e-10,1.66514555889112e-07,"SERPINA9","327657"
"ENSG00000137804",236.159393857971,-2.478737585024,0.391451665150832,-6.33216768683028,2.417405461476e-10,1.74206492109195e-07,"NUSAP1","51203"
"ENSG00000009790",1329.72517049156,-2.77619878729147,0.438849538570938,-6.32608341421944,2.5146191844716e-10,1.76897472439042e-07,"TRAF3IP3","80342"
"ENSG00000135451",166.979806375469,-2.42128249559287,0.384488532909636,-6.29741146574566,3.02657118522795e-10,2.0796063311336e-07,"TROAP","10024"
"ENSG00000168078",36.212870345583,-3.75673448271837,0.597966183252916,-6.28251996171734,3.33128480444725e-10,2.18724757404885e-07,"PBK","55872"
"ENSG00000204282",959.506049099603,-2.38040899078436,0.378873959210188,-6.28285194302252,3.32417615876777e-10,2.18724757404885e-07,"TNRC6C-AS1","100131096"
"ENSG00000169679",127.0877831272,-2.93333859608503,0.467347899671864,-6.27656313026034,3.46138879916582e-10,2.22326507522072e-07,"BUB1","699"
"ENSG00000182487",188.126406011303,-2.68192667347275,0.427577910691576,-6.27236956449627,3.55594317828815e-10,2.23540206692982e-07,"NCF1B","654816"
"ENSG00000224137",31.1834227752129,-4.60669439459227,0.735899670055501,-6.25994898767224,3.85103424488545e-10,2.32209505713031e-07,"LINC01857","102724714"
"ENSG00000075218",77.2823400955136,-2.53027418493997,0.404199570948328,-6.25996256998361,3.85069885130394e-10,2.32209505713031e-07,"GTSE1","51512"
"ENSG00000117009",83.1838092948969,-2.42814607275116,0.388291255959467,-6.2534142489282,4.01575100291693e-10,2.32645841435654e-07,"KMO","8564"
"ENSG00000166501",1072.6782504224,-2.83307756169188,0.453011715069386,-6.25387262061853,4.00397625851036e-10,2.32645841435654e-07,"PRKCB","5579"
"ENSG00000196092",398.982117944353,-4.7563198828225,0.761232996072918,-6.24817881957246,4.1526609322338e-10,2.34981400049757e-07,"PAX5","5079"
"ENSG00000247774",396.410942657147,-2.36808876432886,0.379226016166163,-6.24453139652541,4.25072543823036e-10,2.34981400049757e-07,"PCED1B-AS1","100233209"
"ENSG00000110934",857.692736244221,-2.26755739357647,0.363220410027513,-6.2429239408785,4.29465768722903e-10,2.34981400049757e-07,"BIN2","51411"
"ENSG00000129173",41.1559010325526,-3.06375335236962,0.491701024383469,-6.2309273327449,4.63682166419464e-10,2.44642023018384e-07,"E2F8","79733"
"ENSG00000146670",143.347803313056,-2.22180703539819,0.356548192642095,-6.23143541672206,4.62180529649641e-10,2.44642023018384e-07,"CDCA5","113130"
"ENSG00000136490",2097.08397881166,-2.63023193361131,0.423553287481273,-6.20991977007758,5.30116594234964e-10,2.7478640163625e-07,"LIMD2","80774"
"ENSG00000165066",16.0418892350479,-4.618481268883,0.746993855157739,-6.18275670809599,6.29917578721085e-10,3.20888703118848e-07,"NKX6-3","157848"
"ENSG00000197520",58.607970685043,-3.89335431554644,0.630791118106796,-6.17217681699709,6.73561112169413e-10,3.37305705426398e-07,"FAM177B","400823"
"ENSG00000171848",191.862246649257,-3.30140934226985,0.537798507096423,-6.13874768841249,8.31745497121928e-10,3.90075435840706e-07,"RRM2","6241"
"ENSG00000163518",29.5901668069445,-5.16672084038782,0.842004075011093,-6.13621833162714,8.45089945482795e-10,3.90141055144291e-07,"FCRL4","83417"
"ENSG00000112486",201.360062602953,-2.16085275371871,0.352689804935926,-6.1267797466141,8.96754717805098e-10,4.03245825152904e-07,"CCR6","1235"
"ENSG00000026559",39.5749527372633,-2.93400368971939,0.478937489752064,-6.1260681247531,9.0077250592607e-10,4.03245825152904e-07,"KCNG1","3755"
"ENSG00000170006",359.250120672704,-2.21123231172723,0.361345536777428,-6.11943994506633,9.3904812054448e-10,4.14106205516525e-07,"TMEM154","201799"
"ENSG00000214900",151.133341275045,-2.37215111658946,0.388114509659629,-6.11198771895905,9.83977579130602e-10,4.21342051492649e-07,"LINC01588","283551"
"ENSG00000118308",1124.40454420626,-2.31780511012341,0.379810108175478,-6.102536663012,1.0439815244996e-09,4.34443353843171e-07,"LRMP","4033"
"ENSG00000166803",123.604378934717,-2.14546110644082,0.351531431745428,-6.10318427512485,1.03975846944768e-09,4.34443353843171e-07,"PCLAF","9768"
"ENSG00000117724",179.322505950966,-2.5054107407607,0.411351061740834,-6.0906874292674,1.12426871190787e-09,4.4637823962833e-07,"CENPF","1063"
"ENSG00000156234",561.780747186232,-4.78832591688611,0.786091555039174,-6.09130817675237,1.11991722745876e-09,4.4637823962833e-07,"CXCL13","10563"
"ENSG00000164362",16.9238446893907,-5.0044413604111,0.821060670073794,-6.09509326510709,1.09373665130502e-09,4.4637823962833e-07,"TERT","7015"
"ENSG00000198796",140.510122039837,-4.21205017899558,0.692669899853568,-6.08089102743749,1.19516502800389e-09,4.64636130492145e-07,"ALPK2","115701"
"ENSG00000186265",173.549320966715,-3.2083931333016,0.528172073781487,-6.07452247584933,1.24357218144945e-09,4.71058765039815e-07,"BTLA","151888"
"ENSG00000148773",478.565897195044,-3.09905702633393,0.51007683630415,-6.07566704810335,1.23473366313847e-09,4.71058765039815e-07,"MKI67","4288"
"ENSG00000205744",1692.34830012373,-2.05342346006837,0.33846754372312,-6.06682530762286,1.30463326531047e-09,4.81833680710789e-07,"DENND1C","79958"
"ENSG00000122122",1299.62289878085,-2.59543738030991,0.427727139852577,-6.06797450637449,1.29533460254542e-09,4.81833680710789e-07,"SASH3","54440"
"ENSG00000220008",92.5335468150107,-2.98564886170286,0.492530907959974,-6.06185076601426,1.34564042538032e-09,4.90843111213419e-07,"LINGO3","645191"
"ENSG00000188822",193.335390938419,-3.15681982591973,0.52276100376822,-6.03874390622945,1.55318519442381e-09,5.59639143346902e-07,"CNR2","1269"
"ENSG00000165304",52.348764486284,-2.99913071293205,0.496835367431567,-6.0364678312583,1.57524136217474e-09,5.60747967311024e-07,"MELK","9833"
"ENSG00000111913",1438.33631248201,-2.189439393681,0.362840389404568,-6.03416669592362,1.59785057994549e-09,5.62024919465111e-07,"RIPOR2","9750"
"ENSG00000112195",61.9824869568511,-3.97648661507225,0.659701884161776,-6.02770237669521,1.66306940051796e-09,5.78082923620041e-07,"TREML2","79865"
"ENSG00000172794",424.150639714823,-2.5255105157779,0.421054058529851,-5.9980671474726,1.9967995684171e-09,6.78131494809788e-07,"RAB37","326624"
"ENSG00000180549",69.0716346519639,-2.96857402815444,0.495130323765429,-5.99554074082688,2.02809440144605e-09,6.80932695285513e-07,"FUT7","2529"
"ENSG00000112799",152.987861279397,-2.79337779132804,0.466885155391962,-5.9830083674066,2.19053510023488e-09,7.2720842777011e-07,"LY86","9450"
"ENSG00000010671",576.563357096024,-2.60829559349231,0.438001683561672,-5.95498988104929,2.60087922492749e-09,8.35278017170736e-07,"BTK","695"
"ENSG00000160856",926.561880669691,-3.88421629678211,0.654262577175863,-5.93678506502452,2.9066531658354e-09,8.94583067060134e-07,"FCRL3","115352"
"ENSG00000269220",126.20020069235,-2.43162015901769,0.40951192622204,-5.9378494332281,2.88785067354354e-09,8.94583067060134e-07,"LINC00528","200298"
"ENSG00000233355",329.66449916759,-3.5435880498707,0.599422843621502,-5.91166667666782,3.38663331653567e-09,1.02885539403995e-06,"CHRM3-AS2","100506915"
"ENSG00000123485",87.9555134513495,-3.06895577830646,0.519245829317071,-5.9104100698177,3.41257119799346e-09,1.02885539403995e-06,"HJURP","55355"
