"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000223972",3.14010557670517,-0.578654592854921,0.604038511451569,-0.957976324165743,0.33807469735027,0.908295194392037,"DDX11L1","100287102"
"ENSG00000238009",9.84954152260049,-0.103991699695598,0.418459909736344,-0.248510543724773,0.803739413194636,0.985193897655599,"LOC100996442","100996442"
"ENSG00000230021",3.92374150707464,-0.210519286186446,0.546120422414397,-0.385481438792823,0.699880755676206,0.976202037733174,"LOC101928626","101928626"
"ENSG00000237491",164.586669901597,-0.176330832889366,0.285922029691526,-0.616709503215282,0.537426351856836,0.955851376140034,"LINC01409","105378580"
"ENSG00000177757",35.7667503203041,-0.463536271098419,0.330278826009501,-1.40346953723604,0.16047686975092,0.831953881645762,"FAM87B","400728"
"ENSG00000225880",335.556717552955,0.0322258683042541,0.2888897040195,0.111550767839337,0.911179609854114,0.99156723517255,"LINC00115","79854"
"ENSG00000228794",1265.19492894328,-0.0904862688986141,0.162924522435897,-0.555387657706446,0.57862953282356,0.960621912502383,"LINC01128","643837"
"ENSG00000230368",5.68240350995964,-0.0541240983489069,0.689546713131327,-0.0784922867707134,0.937436465559731,0.992863383625453,"FAM41C","284593"
"ENSG00000223764",174.969652911408,0.23999904030629,0.314109549168049,0.764061585972002,0.44483054280137,0.934245323969952,"LINC02593","100130417"
"ENSG00000187634",479.900484719856,0.725533250827729,0.401504982640777,1.80703423916623,0.0707569408146145,0.728680576266504,"SAMD11","148398"
"ENSG00000188976",3877.67442646212,0.0401906442037465,0.104246880584169,0.385533303044944,0.699842337509086,0.976202037733174,"NOC2L","26155"
"ENSG00000187961",1101.0500615994,0.231161454079162,0.216125517140269,1.06957039195485,0.284812728275815,0.889544265383674,"KLHL17","339451"
"ENSG00000187583",140.097768985261,-0.772165931769926,0.447814409583638,-1.72429898467952,0.0846538825034582,0.747168816086203,"PLEKHN1","84069"
"ENSG00000187642",55.5090730373399,-0.566672039987346,0.395073514490788,-1.43434580958365,0.151473603700299,0.826769434891857,"PERM1","84808"
"ENSG00000188290",525.097483322763,0.445418875216975,0.346111227456641,1.28692408648539,0.198120749027402,0.852845341290522,"HES4","57801"
"ENSG00000187608",838.598549757922,0.559246528917732,0.341549363768645,1.63738126385897,0.101550830579925,0.775751041914664,"ISG15","9636"
"ENSG00000188157",15484.4633410513,-0.0437221307499449,0.168963598465818,-0.258766569527045,0.79581535316995,0.983674042643596,"AGRN","375790"
"ENSG00000217801",157.968137559973,0.384706080805539,0.280823096611211,1.36992322016216,0.170710870451939,0.837368105487459,"LOC100288175","100288175"
"ENSG00000237330",5.09679914502208,0.111459839705241,0.453027159075132,0.246033460626928,0.805656330611004,0.985465692340428,"RNF223","401934"
"ENSG00000131591",1392.33488427523,-0.170332731058447,0.215195835981004,-0.79152428894341,0.428638108173417,0.932191566655996,"C1orf159","54991"
"ENSG00000223823",10.3395667111049,-0.111923290324711,0.559513892346248,-0.200036660136133,0.84145190987012,0.98885602633518,"LINC01342","254099"
"ENSG00000205231",11.7647272528913,0.0724614878782883,0.406958667096088,0.178056136254199,0.85867888968622,0.989552697047468,"TTLL10-AS1","100506376"
"ENSG00000162571",41.155713635983,0.403196738089879,0.391863334292944,1.02892182759937,0.30351641041686,0.896671343770957,"TTLL10","254173"
"ENSG00000186891",184.161798696333,-1.60930085987648,0.580011784862028,-2.77460027861209,0.00552695920483477,0.283506140045222,"TNFRSF18","8784"
"ENSG00000186827",352.174473757696,0.0666716428496817,0.360224770190914,0.18508344890982,0.85316358318291,0.989463464779489,"TNFRSF4","7293"
"ENSG00000078808",8450.17920674703,0.0209881537371404,0.14256217249572,0.147221057098933,0.882957540529116,0.990910977468597,"SDF4","51150"
"ENSG00000176022",1074.70062785861,0.0456837160638339,0.219070947302391,0.208533886516568,0.834812126552486,0.9884733545649,"B3GALT6","126792"
"ENSG00000184163",59.1891414640594,-0.221914868393287,0.309031885867953,-0.71809699432799,0.472697483307554,0.942361464535526,"C1QTNF12","388581"
"ENSG00000160087",2803.78498362175,0.0597706159137797,0.133992127381674,0.446075579825105,0.655542651970479,0.972521808512771,"UBE2J2","118424"
"ENSG00000162572",980.330797838113,0.386064124648157,0.265283139866638,1.4552908445001,0.14558876020011,0.822951120886256,"SCNN1D","6339"
