"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000223972",3.14010557670517,1.42495816382657,0.639640860538397,2.22774724339398,0.02589737468547,0.144818541251877,"DDX11L1","100287102"
"ENSG00000238009",9.84954152260049,-0.135623931496832,0.412156300965662,-0.329059464040878,0.74211074255642,0.885480597885127,"LOC100996442","100996442"
"ENSG00000230021",3.92374150707464,-0.500121623520069,0.518469272998987,-0.964611886500448,0.334739243535237,0.603539738176122,"LOC101928626","101928626"
"ENSG00000237491",164.586669901597,-0.445434144290723,0.284787912925427,-1.56409076394812,0.11779625468158,0.343840538634488,"LINC01409","105378580"
"ENSG00000177757",35.7667503203041,0.30376125098626,0.328380304690874,0.925028835916972,0.354950908131398,0.620795706757356,"FAM87B","400728"
"ENSG00000225880",335.556717552955,-0.634334135186255,0.288375320031387,-2.19968246629849,0.0278294316550073,0.151079494826099,"LINC00115","79854"
"ENSG00000228794",1265.19492894328,0.349547504609289,0.162973611780077,2.14481044379738,0.0319680058470278,0.163384656764622,"LINC01128","643837"
"ENSG00000230368",5.68240350995964,-0.857949509347424,0.671231066853197,-1.27817312355577,0.201188390408302,0.46082207426738,"FAM41C","284593"
"ENSG00000223764",174.969652911408,0.123622995151259,0.314417411741332,0.393181136078311,0.694185701325745,0.85895370666447,"LINC02593","100130417"
"ENSG00000187634",479.900484719856,-0.191476391995296,0.401645329882392,-0.476730034559005,0.633554372766529,0.825389016171783,"SAMD11","148398"
"ENSG00000188976",3877.67442646212,0.0989919801898471,0.104249314148763,0.949569606267009,0.342330988176238,0.609564959721276,"NOC2L","26155"
"ENSG00000187961",1101.0500615994,-0.657882601523949,0.21597162363759,-3.04615296418711,0.00231789881513466,0.0302761442935317,"KLHL17","339451"
"ENSG00000187583",140.097768985261,-0.45386942133119,0.446051191978615,-1.01752765039792,0.30890248542816,0.578520271135103,"PLEKHN1","84069"
"ENSG00000187642",55.5090730373399,-0.645533880669464,0.390309671202761,-1.65390183307581,0.0981474601529772,0.310541046224144,"PERM1","84808"
"ENSG00000188290",525.097483322763,0.67143150165725,0.346540853940727,1.93752480846628,0.0526812238210945,0.219166894179185,"HES4","57801"
"ENSG00000187608",838.598549757922,-0.346751406099499,0.341569184124943,-1.01517180769053,0.310023936862796,0.579671385808642,"ISG15","9636"
"ENSG00000188157",15484.4633410513,0.29748557932995,0.1689672671319,1.76061070513572,0.0783043154911185,0.273000402803495,"AGRN","375790"
"ENSG00000217801",157.968137559973,-1.07443782763606,0.279639002255311,-3.84223165928442,0.00012192067835667,0.00360801337990978,"LOC100288175","100288175"
"ENSG00000237330",5.09679914502208,0.571292217993303,0.470998918466737,1.21293743062735,0.225153743456985,0.490126601371939,"RNF223","401934"
"ENSG00000131591",1392.33488427523,0.343202853909608,0.215207898546932,1.59475026812161,0.110768092131934,0.331881748412214,"C1orf159","54991"
"ENSG00000223823",10.3395667111049,-2.408396030948,0.518042362933909,-4.64903298121829,3.33494888379428e-06,0.000219942856519165,"LINC01342","254099"
"ENSG00000205231",11.7647272528913,-0.467634030406906,0.399632910254115,-1.1701589594049,0.241937005220526,0.50937168159039,"TTLL10-AS1","100506376"
"ENSG00000162571",41.155713635983,0.336119462934307,0.394623260127865,0.85174772218292,0.394354127425089,0.655738277207561,"TTLL10","254173"
"ENSG00000186891",184.161798696333,-1.13615200987173,0.576874742210733,-1.96949515507942,0.0488962583927589,0.210596042342923,"TNFRSF18","8784"
"ENSG00000186827",352.174473757696,-0.857612501605532,0.359732700965127,-2.38402708262175,0.0171243420820954,0.113062751096668,"TNFRSF4","7293"
"ENSG00000078808",8450.17920674703,0.155670476154801,0.142565265406678,1.09192428962791,0.274866380398732,0.54351375498938,"SDF4","51150"
"ENSG00000176022",1074.70062785861,0.137997835081314,0.219088854646186,0.629871543690212,0.528778632222049,0.7570525496745,"B3GALT6","126792"
"ENSG00000184163",59.1891414640594,0.681792555546816,0.310505663183883,2.19574918072607,0.0281099008998347,0.152233045587873,"C1QTNF12","388581"
"ENSG00000160087",2803.78498362175,-0.00738973889606515,0.133978264239175,-0.0551562519340686,0.956013981746328,0.981340786475572,"UBE2J2","118424"
"ENSG00000162572",980.330797838113,-0.75797201921769,0.265159517989701,-2.85855105245413,0.00425580621444418,0.0455153121363246,"SCNN1D","6339"
"ENSG00000131584",4971.29443158209,-0.0658298001945755,0.189979543085317,-0.346509940625619,0.728959514876183,0.87865993801831,"ACAP3","116983"
"ENSG00000169972",461.675732111397,0.136412117607836,0.156413750379383,0.872123565076385,0.383140971774211,0.645618977531701,"PUSL1","126789"
"ENSG00000127054",8950.52551563432,-0.084391599452181,0.12930974234442,-0.652631409839186,0.513993931088464,0.747514501283128,"INTS11","54973"
"ENSG00000224051",1608.4768529962,-0.176783781504383,0.127040022220244,-1.39155974955593,0.164055754562883,0.412491815531864,"CPTP","80772"
"ENSG00000169962",224.897748959451,-1.81747855764467,0.346506673270252,-5.24514734591318,1.56157478427921e-07,1.9633314287793e-05,"TAS1R3","83756"
"ENSG00000107404",5756.40758160172,0.187240106011271,0.122242265549142,1.53171331674967,0.125593194778123,0.356349309968657,"DVL1","1855"
"ENSG00000162576",8482.67492959426,0.485422768923043,0.218360657712205,2.22303217992144,0.0262136301379557,0.145830901159111,"MXRA8","54587"
"ENSG00000175756",3334.76067944326,0.134704695055468,0.158365626451372,0.850593011083947,0.394995473106698,0.656078571151244,"AURKAIP1","54998"
"ENSG00000221978",28621.8855678095,-0.125192224687877,0.174000135210501,-0.719494985083906,0.471835991039457,0.718866533424347,"CCNL2","81669"
"ENSG00000224870",1107.01797087343,-0.0257479907022798,0.163913170561878,-0.157083110612883,0.875179348109171,0.947597809265376,"MRPL20-AS1","148413"
"ENSG00000242485",2767.99416069959,0.246713929380087,0.157896971680021,1.56249943716498,0.118170378353393,0.344239969584415,"MRPL20","55052"
"ENSG00000235098",475.776540246019,-0.85523428206285,0.354874736144214,-2.40996102274043,0.015954224871803,0.107988914165928,"ANKRD65","441869"
"ENSG00000205116",2.43022764246436,0.725800707253442,0.782153855996027,0.927951325291592,0.353432818928217,0.619550641830502,"TMEM88B","643965"
"ENSG00000179403",6543.50661908888,0.430075246325107,0.355208969580225,1.21076685319449,0.225984772248963,0.490716990370051,"VWA1","64856"
"ENSG00000215915",778.924301313889,0.0693675768097935,0.276408345304415,0.25096050096967,0.801844647720285,0.91472208345728,"ATAD3C","219293"
"ENSG00000160072",2320.27639897961,0.167532131269193,0.186053287851014,0.900452409114896,0.367879540924951,0.632344459606063,"ATAD3B","83858"
"ENSG00000197785",1391.38825682743,0.127069512938522,0.16682614887976,0.761688223289907,0.446246105744884,0.698460540718179,"ATAD3A","55210"
"ENSG00000205090",113.273161502706,-0.220058194629014,0.265867466467293,-0.82769884391284,0.407841074028796,0.667150502339432,"TMEM240","339453"
"ENSG00000160075",6106.23884900185,0.0739356223819986,0.114530648689782,0.645553161776469,0.518568779069071,0.750361582172231,"SSU72","29101"
"ENSG00000228594",497.59129128905,-0.276241614249067,0.358313195097475,-0.770950157651655,0.440736475347514,0.693966195126859,"FNDC10","643988"
"ENSG00000197530",6091.15711633574,-0.333059386274324,0.195302752294903,-1.70534916871735,0.0881293225233501,0.291553502035159,"MIB2","142678"
"ENSG00000189409",27.8523447395431,0.0172598105541945,0.464595479821843,0.0371501904426902,0.970365253438274,0.986558514445269,"MMP23B","8510"
"ENSG00000248333",2015.87583190813,-0.0317249526197645,0.132768615728819,-0.238949185736508,0.811144985321468,0.918145177884788,"CDK11B","984"
"ENSG00000189339",5257.01590574694,-0.516716529375329,0.176813013013084,-2.9223897074651,0.00347356619740115,0.0399960977663345,"SLC35E2B","728661"
"ENSG00000215914",16.6555783743521,-0.802984607176634,0.600935936054435,-1.33622331266922,0.18147629338241,0.43638381267743,"MMP23A","8511"
"ENSG00000008128",2927.86098685378,-0.206020543577631,0.177572525225749,-1.16020506728569,0.245965324368818,0.513974684558178,"CDK11A","728642"
"ENSG00000215790",351.561750365922,-0.226399099228533,0.179044557415228,-1.26448467631152,0.206056117359625,0.467024704165962,"SLC35E2A","9906"
"ENSG00000008130",4505.37544603668,0.0396976453488999,0.152658967513636,0.260041358823903,0.79483187094692,0.911552871815627,"NADK","65220"
"ENSG00000078369",14524.6402489322,0.230772847882501,0.101965675808003,2.26324050768846,0.0236208674129439,0.136522329534984,"GNB1","2782"
"ENSG00000169885",56.6494982304434,-0.42384066166376,0.326743449508506,-1.29716651489513,0.194573899385591,0.452667750491863,"CALML6","163688"
"ENSG00000178821",38.9711245486264,-0.126365509709495,0.292613584191971,-0.431851139305249,0.665849608662023,0.843582716758636,"TMEM52","339456"
"ENSG00000142609",10.8624386833852,-0.429694013839247,0.57389828572747,-0.748728519539956,0.454020850513099,0.704701357299678,"CFAP74","85452"
"ENSG00000187730",113.506639604143,0.56905294669042,0.455234594833472,1.25002131461161,0.211291761248803,0.473048903376309,"GABRD","2563"
"ENSG00000226969",2.6529933928577,0.0538521941550714,0.64449604383542,0.0835570593026375,0.933408609200604,0.974033016337646,"LOC105378591","105378591"
"ENSG00000067606",1830.76936443237,0.000628160637679017,0.249972711882419,0.00251291684179707,0.997994984559544,0.999102121339403,"PRKCZ","5590"
"ENSG00000182873",824.089244171202,0.0125916416307837,0.26780055669443,0.0470187283634036,0.96249830096023,0.983536515188869,"PRKCZ-AS1","100506504"
"ENSG00000162585",2404.97539459501,-0.0223556833042882,0.15221841271453,-0.146865828552647,0.883237924259293,0.951129777678503,"FAAP20","199990"
"ENSG00000157933",7874.70639172618,0.066175768203025,0.106970258203252,0.618637080199302,0.536155468558206,0.761708394192467,"SKI","6497"
"ENSG00000116151",933.998697583355,-0.0669700205284189,0.239869726787259,-0.27919329973563,0.780096485319665,0.903967510691401,"MORN1","79906"
"ENSG00000269896",413.514777368901,-0.728793324906594,0.293303783458553,-2.48477301012921,0.0129634064295571,0.0952477405041682,"LOC100129534","100129534"
"ENSG00000157916",7213.11188458226,-0.0779298655860834,0.0891097782783501,-0.874537756593398,0.381825467824884,0.644504985852034,"RER1","11079"
"ENSG00000157911",758.465946677627,0.327835891669174,0.167404263233159,1.95834852313508,0.0501891306861151,0.213518798452405,"PEX10","5192"
"ENSG00000149527",1348.70103488627,-1.07113542031701,0.489779763068243,-2.18697361770695,0.0287444499974943,0.153744301163281,"PLCH2","9651"
"ENSG00000157881",1935.55785624213,0.129944592041209,0.103739144017602,1.25260906354848,0.21034801474645,0.472259968273968,"PANK4","55229"
"ENSG00000197921",33.1134497103166,-0.88955815735482,0.914815921222209,-0.972390331998547,0.330856399816005,0.600008076780129,"HES5","388585"
"ENSG00000157873",5943.71415969585,-0.385568402435156,0.220885601716829,-1.74555697355705,0.0808879642713512,0.278334913427057,"TNFRSF14","8764"
